RM Code,RM Name,Client Full Name,Mobile No,Email ID
BRK042,Vimal Pandya,Rahul Mehta,+91 98336 93876,rahul.mehta@example.com
BRK042,Vimal Pandya,Priya Shah,9712989074,priya.shah@example.com
BRK042,Vimal Pandya,Anand Desai,07041771021,
BRK042,Vimal Pandya,Rahul Mehta,+91 98336 93876,rahul.mehta@example.com
BRK042,Vimal Pandya,Meera Iyer,12345,meera.iyer@example.com
BRK107,Jeet Jhaveri,Sanket Joshi,9820012345,sanket.joshi@example.com
BRK107,Jeet Jhaveri,Nikhil Rao,9833011122,not-an-email
BRK107,Jeet Jhaveri,Kavita Bhatt,9769988776,kavita.bhatt@example.com
BRK107,Jeet Jhaveri,Rohan Mehta,9876543210,rohan.mehta@example.com
BRK311,Asha Kulkarni,Devang Parikh,9898001122,devang.parikh@example.com
BRK311,Asha Kulkarni,Sneha Trivedi,9825566778,
